회사명,회사정보,제목,링크,경력및고용형태,학력,마감일,직무분야,tech,location
,,[경력] SW개발자 FE/BE 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49487042,경력 4년↓ · 정규직,학력무관,~01.03(금),"백엔드/서버개발, 웹개발, 유지보수, 정보보안, API",218,101000
(주)애자일소다,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VWVSblpuS3cyL2dEd1c5RkFLSmFrUT09,풀스택 소프트웨어 엔지니어(Fullstack Software Engineer)(경력 2년 - 6년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49512378,2 ~ 6년 · 정규직,대학교(4년)↑,~01.02(목),"백엔드/서버개발, 웹개발, 프론트엔드, S/W, Java",218,101000
(주)셀키,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RWU5Sy9BWVNvUDlDR0h2ZlY5bURxdz09,백엔드 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49494532,4 ~ 10년 · 정규직,대학교(4년)↑,~12.31(화),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, SE(시스템엔지니어)",218,101000
,,Runtime 소프트웨어 엔지니어 채용 (병역특례 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49483790,신입 · 경력 · 정규직,고졸↑,~12.26(목),"데이터분석가, 딥러닝, 머신러닝, 블록체인, 빅데이터",218,101000
(주)스피링크,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bzJHK1ErWCtBQU5MV3A0aUdiZFkzQT09,[인재풀] LLM 기반 AI 서비스 개발 프리랜서 상시 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49493069,경력 3년↑ · 프리랜서,대학교(4년)↑,~12.29(일),"딥러닝, 머신러닝, 모델링, 알고리즘, 챗봇",218,101000
(주)애자일소다,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VWVSblpuS3cyL2dEd1c5RkFLSmFrUT09,풀스택 소프트웨어 엔지니어(Fullstack Software Engineer)(경력 6년 - 10년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49483835,6 ~ 10년 · 정규직,대학교(4년)↑,~12.27(금),"백엔드/서버개발, 웹개발, 프론트엔드, S/W, Java",218,101000
(주)두나미스아트테크놀로지스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bWt3TGIxYm1BdERPNE9XN001SEJkdz09,소프트웨어 엔지니어 (신입 및 경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49490268,신입 · 경력 · 계약직,대학교(4년)↑,상시채용,"백엔드/서버개발, 앱개발, 웹개발, AWS, Git",218,101000
(주)클래스유,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eFVlM2JqSHl1aHRiYjZ4VGVSVEsyUT09,[클래스유] 백엔드 개발자 (B.E),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49489147,경력 3년↑ · 정규직,대학교(4년)↑,상시채용,"백엔드/서버개발, 프론트엔드, Android, iOS, AWS",218,101000
(주)천재교육,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZmlVQ2M2cnFWNitnbnlXYzZ1NkM0QT09,[천재교육] AI센터 이미지검색팀 LLM Application 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49485184,1 ~ 3년 · 정규직 외,학력무관,~12.28(토),"백엔드/서버개발, API, AI(인공지능), AWS, 유지보수",218,101000
(주)티피씨인터넷,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RVQ2MUtvTjNyS0cySGF4R0JwNGU0Zz09,커뮤니케이션 플랫폼 'LIKEY' 백엔드 개발자 (Node.js / 6-8년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49391776,6 ~ 8년 · 정규직,학력무관,채용시,"백엔드/서버개발, 클라우드, API, AWS, Azure",218,101000
(주)티피씨인터넷,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RVQ2MUtvTjNyS0cySGF4R0JwNGU0Zz09,커뮤니케이션 플랫폼 'LIKEY' 백엔드 개발자 (Node.js / 3-5년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49392102,3 ~ 5년 · 정규직,학력무관,채용시,"백엔드/서버개발, 클라우드, API, AWS, Azure",218,101000
,,백엔드 개발자 (경력 3년~5년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49464251,3 ~ 5년 · 정규직,대학교(4년)↑,~12.24(화),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, 데이터마이닝",218,101000
(주)니트머스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dkIrL2dhU3hBQmFEOWhvdWh5NFQyQT09,"[신입/경력] 온라인 광고 플랫폼 개발 (Python, Django)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49214740,신입 · 정규직,"대학(2,3년)↑",내일마감,"백엔드/서버개발, 웹개발, S/W, Django, PHP",218,101000
,,시니어 파이썬 백엔드 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49432001,5 ~ 15년 · 정규직,학력무관,D-3,"백엔드/서버개발, 웹개발, SE(시스템엔지니어), 인프라, 클라우드",218,101000
,,(전문연구요원 가능) Runtime 소프트웨어 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49440558,경력무관 · 정규직,학력무관,D-5,"C++, Django, Flask, Kotlin, Python",218,101000
(주)티피씨인터넷,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RVQ2MUtvTjNyS0cySGF4R0JwNGU0Zz09,서버/백엔드 개발자 (Node.js / 6~8년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49422097,6 ~ 8년 · 정규직,학력무관,D-2,"백엔드/서버개발, 웹개발, 프론트엔드, DBA, SE(시스템엔지니어)",218,101000
주식회사에이머슬리(amouslyInc.),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QzVva09EYnROZlVxK08xdldBaFBEUT09,에이머슬리 MLOps 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49399226,경력무관 · 정규직,대학교(4년)↑,~01.13(월),"딥러닝, 머신러닝, 알고리즘, Pytorch, Tensorflow",218,101000
,,(주식회사 미니레코드) Python 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49399149,1 ~ 10년 · 정규직 외,학력무관,상시채용,"Python, 유지보수, 딥러닝, 머신러닝, 챗봇",218,101000
