회사명,회사정보,제목,링크,경력및고용형태,학력,마감일,직무분야,tech,location
대한상공회의소,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=a2xlN0dKcHFOTThSdDloOVQrQWordz09,[국비지원 무료교육] 반도체 로봇 빅데이터 인공지능 취업연계,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47262105,신입 · 경력 · 교육생,학력무관,~12.31(화),"보안컨설팅, 앱개발, 웹개발, 정보보안, 빅데이터",320,108000
(주)포텍,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=YUlCTFJvcU9BTlJkREZGZUdUTUxBQT09,[임베디드리눅스] 기업부설연구소 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49552006,경력무관 · 정규직,대학교(4년)↑,~01.08(수),"영상처리, 이미지프로세싱, 임베디드, 펌웨어, FPGA",320,105000
(주)소프트아이텍,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RGZlT2toWlhZTUNHMjQ2bHA5VDc5UT09,SW 개발자 모집 (대전),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49584798,경력 3년↑ · 정규직,"대학(2,3년)↑",~01.31(금),"유지보수, SI개발, S/W, AWS, Azure",320,105000
(주)토모큐브,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Z3VpejVCTDZSQm84QTlVc3hlSEFQQT09,S/W 개발 (3차원 영상처리) 선임연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49571305,1 ~ 10년 · 정규직,대학교(4년)↑,~01.10(금),"임베디드, H/W, S/W, C#, C++",320,105000
(주)토모큐브,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Z3VpejVCTDZSQm84QTlVc3hlSEFQQT09,S/W 개발 (H/W 구동계 소프트웨어) 연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49571311,신입 · 경력 · 정규직,대학교(4년)↑,~01.10(금),"임베디드, H/W, S/W, C#, C++",320,105000
(주)라이온로보틱스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VkJIYUFuNkxQTXB0YWNWTmp0M0xpQT09,(주)라이온로보틱스 로봇 전장 설계 전문 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49580988,경력무관 · 정규직,대학교(4년)↑,~12.29(일),"임베디드, 정보통신, IoT, MCU, 임베디드리눅스",320,105000
(주)하이로닉,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NHZKbDM5WFZicTMrM250VEJpS3FCdz09,코스닥 상장사] 각 분야 인재 모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49539105,신입 · 경력 · 정규직,"대학(2,3년)↑",D-5,"임베디드, 정보통신, 펌웨어, MCU, S/W",320,105000
(주)인엘씨테크놀러지,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bE9YbVNxdTVWcUtsbm5DdlV2Y3hMUT09,FW개발 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49553964,3 ~ 15년 · 정규직,학력무관,~01.07(화),"임베디드, 펌웨어, FPGA, H/W, MCU",320,105000
(주)시스웍,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=b1RWa2NUTklYalNiZVFQV2M2MzZQdz09,"기술연구소 HARDWARE, FIRMWARE 연구원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49509650,3 ~ 10년 · 정규직,"대학(2,3년)↑",~01.01(수),"임베디드, 펌웨어, H/W, C++, C언어",320,105000
(주)넷커스터마이즈,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QWY3dVRhZ056VkhyZG1kYVlObEVYdz09,신호처리 관련 FPGA Logic 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49505254,신입 · 경력 · 정규직,대학교(4년)↑,~12.31(화),"임베디드, FPGA, H/W, C++, C언어",320,105000
(주)마이크로인피니티,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eDgvSE90amsySFZFcW9vNkVjOVY4UT09,㈜마이크로인피니티 대전사업장 정규직 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49210192,신입 · 경력 · 정규직 외,대학교(4년)↑,~12.31(화),"네트워크, 데이터마이닝, 머신러닝, 임베디드, 펌웨어",320,105000
올제텍(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=V2FJaXZBcWxHcFJHQ2w0Rktza2hjdz09,HW 회로설계 경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49453804,3 ~ 10년 · 정규직,"대학(2,3년)↑",D-7,"임베디드, H/W, 임베디드리눅스, 회로설계, AutoCAD",320,105000
(주)레인보우로보틱스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZjlzdDNGQTdRVE1GSi9wY2FSVmJsZz09,(주)레인보우로보틱스 연구소 임베디드 SW / 펌웨어 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49373423,2 ~ 5년 · 정규직,석사↑,채용시,"임베디드, 라즈베리파이, 아두이노, 임베디드리눅스, S/W",320,105000
,,FPGA 개발 엔지니어 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49330442,신입 · 경력 · 정규직,대학교(4년)↑,~01.03(금),"SE(시스템엔지니어), 임베디드, FPGA, H/W, C++",320,105000
(주)에이플,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OVcweHRMUHkwbnBWQmM2ZzU4OWc3QT09,모바일로봇 제어 및 운영 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49259348,3 ~ 10년 · 정규직,대학교(4년)↑,~12.23(월),"딥러닝, 머신러닝, 임베디드리눅스, 로봇엔지니어, 연구원",320,105000
(주)제이오텍,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QjAvWTRjdksycXVIUjFoWFB6cmxYQT09,[연구실험장비] 하드웨어/펌웨어 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45668574,신입 · 경력 · 정규직,대학교(4년)↑,상시채용,"임베디드, 펌웨어, H/W, 임베디드리눅스, 제조",320,105000
캐논코리아 주식회사,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=U0dVcGtWbXI4T0s2MlhCS2FjK0RqZz09,2024년 12월 캐논코리아 신입사원(채용연계형인턴)모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49524700,신입 · 인턴직,대학교(4년)↑,23시 마감,"데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발, 웹개발",320,113000
(주)하이로닉,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NHZKbDM5WFZicTMrM250VEJpS3FCdz09,코스닥 상장사] 각 분야 인재 모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49539105,신입 · 경력 · 정규직,"대학(2,3년)↑",D-5,"임베디드, 정보통신, 펌웨어, MCU, S/W",320,113000
대한상공회의소,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=a2xlN0dKcHFOTThSdDloOVQrQWordz09,[국비지원 무료교육] 반도체 로봇 빅데이터 인공지능 취업연계,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47262105,신입 · 경력 · 교육생,학력무관,~12.31(화),"보안컨설팅, 앱개발, 웹개발, 정보보안, 빅데이터",320,113000
(주)케이티디에스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=THdqTE1hbFdsSGVFWkdLc3gwWnJQZz09,[kt ds] 2024년 각 부문별 경력사원 상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49444384,경력 2년↑ · 정규직 외,학력무관,~02.28(금),"게임개발, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",195,101000
(주)뉴로메카,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=djc0QW1pUTNWcnlRT2VVZXBTVlJwdz09,[뉴로메카] 제품개발(SW) 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49583523,신입 · 경력 · 정규직 외,대학교(4년)↑,~02.11(화),"백엔드/서버개발, 프론트엔드, API, Android, Angular",195,101000
(주)큐피스트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=WGNFTS9uaDdKSnpwcSt1N2JIbFU4QT09,모바일 앱 개발자 (React Native),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47621894,3 ~ 10년 · 정규직,대학교(4년)↑,상시채용,"React-Native, Android, iOS, Javascript, React",195,101000
(주)키다리스튜디오,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=amhwVm1sbHZkREhqY2JGdHprL0Ewdz09,웹툰 플랫폼 안드로이드 개발 (경력 7~10년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49572831,7 ~ 10년 · 정규직,학력무관,~01.11(토),"앱개발, 웹개발, Android, Java, Kotlin",195,101000
(주)스마트마켓서비스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QlM2UE9vWjdBZ2dIVWlTalFpTTU3QT09,크로스 플랫폼(Flutter) 개발자 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49590009,경력 6년↑ · 정규직,"대학(2,3년)↑",~01.13(월),"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 반응형웹",195,101000
(주)지아이티,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TENESnpBYXAwSCtaSllUWm9uODBrQT09,현대자동차그룹 (주)지아이티 연구소/사업실 대규모 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49534455,경력 · 인턴직,학력무관,~12.31(화),"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수",195,101000
(주)소프트넷,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ejIweFVmVG5ZSDlyTDJRNTArcVg4UT09,JAVA 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49554172,3 ~ 10년 · 정규직,"대학(2,3년)↑",~01.11(토),"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, SE(시스템엔지니어)",195,101000
우리에프아이에스(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RUJPS0VUZytDK1lZRFl2ekZLdlBaQT09,우리에프아이에스 2024년 경력사원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49587708,경력 · 정규직,학력무관,D-7,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",195,101000
(주)수일개발,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=aEZ6L3NqMS9UYjVLbWN2SWhvWnFOdz09,의료기기 알고리즘 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49587515,경력 3년↑ · 정규직,석사↑,~02.11(화),"알고리즘, C++, Javascript, Python, 머신러닝",195,101000
(주)앤스시스템,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=M09wMHpZcThlN2ZOTVJNTEpxQno3dz09,"[경력자] IOS, Android 앱 개발자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49242760,5 ~ 20년 · 정규직,학력무관,상시채용,"앱개발, Android, iOS, Kotlin, Swift",195,101000
(주)윙소프트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=V3V0VVVYWXliZk5MNGZKM3dZa3Q4QT09,"[경력자] IOS, Android 앱 개발자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49445668,경력 5년↑ · 정규직,학력무관,상시채용,"앱개발, Android, iOS, Kotlin, Swift",195,101000
,,"[디티피아] 웹 개발 (.NET, C#) 경력자 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49464877,경력 2년↑ · 정규직,대학교(4년)↑,채용시,"백엔드/서버개발, 웹개발, 유지보수, RDBMS, .NET",195,101000
주식회사 아이티엘,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWNzc3oxSkQrS1J2WGtuaFpBQXBFZz09,모바일 앱 개발자 채용 (경력 모집),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49215193,경력 2년↑ · 정규직,"대학(2,3년)↑",채용시,"앱개발, 웹개발, API, Android, Flutter",195,101000
(주)씨브이네트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bmQwdGFjL0lVSlIwb01UbGFpL1VpZz09,[삼성 계열사 씨브이네트] 임베디드 S/W (안드로이드),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49324486,5 ~ 20년 · 정규직,학력무관,~12.31(화),"Android, 임베디드, S/W",195,101000
(주)크래프톤,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VUJYbGh2aXhrZXhxR2FUZVFRK0pMZz09,Unity Platform SDK Developer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49571147,3 ~ 15년 · 정규직,학력무관,~01.09(목),"게임개발, 앱개발, VR(가상현실), C#, C++",195,101000
(주)크래프톤,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VUJYbGh2aXhrZXhxR2FUZVFRK0pMZz09,Unreal Platform SDK UI Developer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49571148,3 ~ 15년 · 정규직,학력무관,~01.09(목),"게임개발, 앱개발, VR(가상현실), C#, C++",195,101000
(주)스텔라앤,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RXQyVzV5UmttcHJDWWVKcGgxakJXQT09,[AI플랫폼] Android/iOS 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49351573,신입 · 경력 · 정규직,대학교(4년)↑,~01.05(일),"백엔드/서버개발, 웹개발, AI(인공지능), Docker, Node.js",195,101000
(주)비알랩,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QU11K1liWkxnd1FFZFQ3dGZsbVg0Zz09,모바일 앱 개발 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49510670,3 ~ 10년 · 정규직,대학교(4년)↑,~12.31(화),"앱개발, 웹개발, 프론트엔드, Android, Flutter",195,101000
금호전기㈜,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eGtRem9TYUh2aXkySllWRUdTT2tzZz09,금호전기(주) IoT S/W 개발자 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49580361,경력 5년↑ · 정규직,"대학(2,3년)↑",~02.10(월),"웹개발, Android, C++, C언어, 연구원",195,101000
티맵모빌리티(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=V0JLcnNPNlRFRk1wanZtdmRBcmlodz09,"[티맵모빌리티] 개발자 채용 (CE,BE,DevOps,Search,DA,개발PM)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49381823,경력 2년↑ · 정규직,"대학(2,3년)↑",채용시,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 프론트엔드",195,101000
하이퍼커넥트 유한책임회사,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UHh6NXc3Y09jTmxoS3ZkZkxCNmdVZz09,[하이퍼커넥트] QA Specialist (1년 계약직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49577825,경력 1년↑ · 계약직,학력무관,상시채용,"QA/테스터, Android, iOS",195,101000
하이퍼커넥트 유한책임회사,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UHh6NXc3Y09jTmxoS3ZkZkxCNmdVZz09,[하이퍼커넥트] Graphics Engineer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49577731,3 ~ 10년 · 정규직,학력무관,상시채용,"프론트엔드, 영상처리, 음성인식, 이미지프로세싱, AR(증강현실)",195,101000
(주)리시드,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=MUM5eVFWTTZjVlpxY0t5dnZob2ljQT09,[삼성 헬스] 모바일 앱서비스 운영자 채용 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49576938,신입 · 경력 · 정규직,"대학(2,3년)↑",~01.31(금),"웹마스터, GM(게임운영), QA/테스터, 웹표준·웹접근성, Android",195,101000
(주)티빙,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QzFZYmxPQzdHdXZ4YU4xamxrTWhFdz09,[티빙] 앱 개발자 (Android Developer) 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49576375,경력 5년↑ · 정규직,학력무관,~12.25(수),"앱개발, Android, 유지보수, 솔루션, iOS",195,101000
큐어스트림(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZUR1ak1pbExPNlRlbHZtVTV4eEtzZz09,SW개발팀 채용(프론트앤드&Firmware&SW QA & SW RA),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49576137,신입 · 경력 · 정규직,학력무관,~02.10(월),"앱개발, 웹표준·웹접근성, 임베디드, 크로스브라우징, MCU",195,101000
윤디스크㈜,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OS9qZWpVanUxejRwbmJONk1qUm0zUT09,[JAVA/전자정부프레임워크] 웹 개발자님을 모십니다. (3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49301728,경력 3년↑ · 계약직,학력무관,~12.29(일),"백엔드/서버개발, 웹개발, 프론트엔드, SI개발, 반응형웹",195,101000
(주)잉카엔트웍스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cnQyeHBPc1pEVTVFVEdDazNwdXR5dz09,SQA (테스트 자동화 엔지니어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49561058,3 ~ 10년 · 정규직,대학교(4년)↑,~01.12(일),"웹개발, 프론트엔드, QA/테스터, ECMAScript, Javascript",195,101000
(주)레플리,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bU54UG4waHQ3YmNJZ3Z5MmU5K3VGZz09,안드로이드 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49561105,1 ~ 10년 · 정규직,학력무관,~01.09(목),"앱개발, Android, Kotlin, 네트워크, API",195,101000
(주)안티그래비티,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=aGVEYkduSU1adm9KNXFTdVlyM000QT09,서비스 기획자/프로덕트 책임자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49565268,3 ~ 10년 · 정규직,학력무관,~01.08(수),"데이터분석가, 앱개발, 웹개발, 퍼블리셔, 딥러닝",195,101000
(주)인티그리트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZFJmWkFkV3FzaGl0ckpMY1RHSGpnZz09,"[지능형 로보틱스 플랫폼] AI 플랫폼,디바이스S/W, 펌웨어 개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49556133,신입 · 경력 · 정규직,학력무관,~01.08(수),"딥러닝, 머신러닝, 솔루션, 임베디드, 자율주행",195,101000
(주)바이커넥트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dG1wVnJSdzJBZm9pcE5OZ2I3cEZXdz09,프리팅 성형의료 플랫폼 운영자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49572504,3 ~ 7년 · 정규직,"대학(2,3년)↑",~02.09(일),"GM(게임운영), Android, iOS",195,101000
(주)팀프레시,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=REU0NXlTKytoNjcwbWt1WXA4cm0zZz09,[팀프레시] TMS스쿼드 안드로이드 앱 개발자 (경력 3년 이상)l,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49570470,경력 3년↑ · 정규직,학력무관,~12.25(수),"Android, 유지보수, Kotlin",195,101000
(주)코보시스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RlBsN0prMlpvKzRjRzNrVnRJUnJ0QT09,Flutter 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49569723,3 ~ 10년 · 정규직,대학교(4년)↑,~12.31(화),"앱개발, 웹개발, 프론트엔드, Android, ECMAScript",195,101000
(주)시어스랩,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=R2ppelFiRVdlYU9DWWhXajAzSTZPZz09,앱 개발 총괄,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49555094,10 ~ 15년 · 정규직,석사↑,~01.07(화),"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, 인프라",195,101000
(주)오오티디,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UDY3Y1ZlQktsQ09kdzJBSS9xS01zZz09,패션 SNS OOTD 플랫폼 백엔드 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49551338,2 ~ 10년 · 정규직,학력무관,~01.07(화),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, 인프라",195,101000
퍼스널(personal),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NUdMVW4vaXhsUG05VW93cHkxUXNsZz09,[주식회사 퍼스널애드] 앱 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49536437,경력 3년↑ · 정규직,학력무관,~02.03(월),"백엔드/서버개발, S/W, API, Android, GraphQL",195,101000
(주)블루버드,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Z2tGWkt4RnpWaUZVOG1rQkZ6cEFtUT09,SW개발 팀장 채용(Android),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49565193,경력 10년↑ · 정규직,대학교(4년)↑,~02.08(토),"S/W, Android, C++, C언어, Java",195,101000
(주)소만사,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=MUR3Qmd0Zk9zcHJoNXBFNGNaaUpvQT09,판교에서 함께 근무할 가상화 SW솔루션(VDI) 클라이언트 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49490997,경력 3년↑ · 정규직,"대학(2,3년)↑",오늘마감,"정보보안, 방화벽, 솔루션, 인프라, VDI",195,101000
(주)럭스로보,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dXJUdkZWMm1IYnZ1ejFleWQxbkpSQT09,Mobile개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49473027,5 ~ 12년 · 정규직,대학교(4년)↑,~12.25(수),"앱개발, Android, iOS, Kotlin, Objective-C",195,101000
(주)디지캡,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=aXdKUDVNQmNFTUp2YlVtMG82cXh6UT09,(주)디지캡 Android/iOS 개발 신입/경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49562771,신입 · 경력 · 정규직,"대학(2,3년)↑",~01.09(목),"앱개발, Android, iOS, Java, 솔루션",195,101000
링크루트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TENMQVNSaG8zSG02TVRNWHJ4NnFRZz09,[유망 스타트업] 경력 리액트 네이티브 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49562542,3 ~ 5년 · 정규직,"대학(2,3년)↑",~01.09(목),"SDK, Android, iOS, React-Native, 네트워크",195,101000
채비(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dDkzRmo1MWc5YWVUY1ovZHN3TFYxQT09,S/W팀(UI업무 경력자 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49505278,5 ~ 14년 · 정규직,"대학(2,3년)↑",~12.31(화),"앱개발, 웹개발, 프론트엔드, SE(시스템엔지니어), Android",195,101000
이노아이(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cEhYZktQaVJKUWg2ZFh4T2V1alU1Zz09,[QA/테스터] [문래] 리테일 플랫폼,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49553664,3 ~ 7년 · 프리랜서,"대학(2,3년)↑",~01.08(수),"GM(게임운영), QA/테스터, H/W, S/W, 인터페이스",195,101000
(주)넷스트림,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cWR6Vi9IaFZUV2tMd0taN1V3bEZ5dz09,[React-Native 공고] 넷스트림과 함께할 개발자를 찾습니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49552872,3 ~ 8년 · 정규직 외,학력무관,~02.07(금),"앱개발, 웹개발, 유지보수, 반응형웹, Android",195,101000
(주)디어유,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Q3ZwdklhbHRZTTNrTHBqakk2cUxXdz09,QA 경력자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49539697,3 ~ 10년 · 정규직,"대학(2,3년)↑",~01.06(월),"앱개발, QA/테스터, Android, iOS, Kotlin",195,101000
,,알지티 웹 프론트엔드 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49515018,신입 · 정규직,대학교(4년)↑,상시채용,"임베디드, 컴퓨터비전, S/W, 프론트엔드, 자율주행",195,101000
(주)위17,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TUdUNVFxdGxMNUVhdzk5djZLZFNMdz09,모바일 필드 테스트 엔지니어 /QA,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49555796,1 ~ 3년 · 계약직,"대학(2,3년)↑",채용시,"QA/테스터, 정보통신, SQA, 네트워크, 솔루션",195,101000
,,[iDynamics] Android 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49555728,경력무관 · 정규직,대학교(4년)↑,~01.08(수),"앱개발, 솔루션, 알고리즘, API, 헬스케어",195,101000
(주)포인트모바일,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eDF1VzBmN0xqenZWWXhGcEJXL1BGZz09,모바일 결제 솔루션 개발자 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49555466,신입 · 경력 · 정규직,대학교(4년)↑,~01.08(수),"앱개발, 정보보안, 프론트엔드, SE(시스템엔지니어), 임베디드",195,101000
조베이스(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Qmg1bkZYME40cytZMVlROE1LRHhrQT09,[채용공고] UI/UX 디자이너 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49494044,경력 3년↑ · 정규직,학력무관,~12.29(일),"퍼블리셔, CSS, CSS3, HTML, HTML5",195,101000
